ID2;id;Barrio;barrio;comuna;Id_Arbol;grupo;nombre_comun;nombre_cientifico;union;familia;vegetacion;edad;perimetro;cobertura;confinamiento;emplazamiento;pb;pap;DAP;DAP2;papdel;papgrueso;altura_fuste;altura_arbol;diferencia;diametro_copa;inclinacion;orientacion;otra_orientacion;fuste;tallos;raiz;raiz_expuesta;copa;densidad_copa;vitalidad;bacteriosis_tronco;fungosis_tronco;insectos_tronco;ahorcamiento_tronco;anillamiento_tronco;golpes_tronco;machetazos_tronco;presencia_metales_tronco;acumulacion_escombros_tronco;quemaduras_tronco;pudricion_base_tronco;huecos_tronco;alto_huecos_tronco;ancho_huecos_tronco;propundidad_huecos_tronco;bacteriosis_follaje;fungosis_follaje;insectos_follaje;dasrramamiento_follaje;golpes_follaje;mutilacion_follaje;enrredos_follaje;parasitas_follaje;quemaduras_follaje;estado_poda;infraestructura_habitacional;infraestructura_vial;redes_de_servicio;moviliario_urbano;ninguna;red_telefonica_sub;red_electrica_sub;red_acueducto_sub;red_gas_sub;sin_identificar_sub;ninguna_cercania_sub;dano_ondulacion;dano_infraestructura;ningun_dano;red_telefonica_air;red_electrica_air;sin_identificar_air;ninguna_cercania_air;contacto_horizontal;contacto_inferior;contacto_superios;limpieza;poda;fertilizacion;construir_crecamiento;eliminar_piso_duro;eliminar_crecamiento;transplante;control_fitosanitario;ninguno2;erradicacion;Norte;Este;PLACA;ACT_NOM_ESP;OBSERVACION
34483;0301G02001426;301;El Nacional;3;41350;G02;Cerezo, Mirto, Azahar;Murraya paniculata;Murraya paniculata (Cerezo, Mirto, Azahar);Rutaceae;Arbusto;Maduro;0;Cesped;Si;Anden;0,79;0,15;0,05;0,05;0;0;1,5;3;1,5;2,5;0;Ninguna;N/A;Fuste Unico;1;Subterranea;NO;Globosa;Medio (34 - 66%);Sano;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Sin Podar;N/A;N/A;N/A;N/A;Ninguna;N/A;N/A;N/A;N/A;N/A;Ninguna;N/A;N/A;Ninguno;N/A;N/A;N/A;Ninguna;N/A;N/A;N/A;N/A;N/A;Fertilizacion;N/A;N/A;N/A;N/A;N/A;N/A;0;872661,12;1058880,64;41350;Mirto, Azahar, Cerezo;Plaqueteado
34484;0301G02001427;301;El Nacional;3;41349;G02;Millonaria, Crispa;Polyscias scutellaria;Polyscias scutellaria (Millonaria, Crispa);Araliaceae;Planta arbustiva;Maduro;0;Cesped;Si;Anden;0,75;0,1;0,03;0,03;0;0;2;5;3;4;0;Ninguna;N/A;Fuste Unico;1;Subterranea;NO;Globosa;Bajo (0 - 33%);Regular;N/A;Fungosis;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Fungosis;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Sin Podar;N/A;N/A;Redes de servicios;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguna;N/A;N/A;Ninguno;N/A;Red Electrica;N/A;N/A;N/A;N/A;N/A;Limpieza;Poda;Fertilizacion;N/A;N/A;N/A;N/A;Control Fitosanitario;N/A;0;872662,2;1058887,83;41349;Millonaria, Crispa;Plaqueteado
34485;0301G02001428;301;El Nacional;3;41348;G02;Francesina, Monaca;Brunfelsia latifolia;Brunfelsia latifolia (Francesina, Monaca);Solanaceae;Planta arbustiva;Longevo;0;Cesped;Si;Parque Urbano;0,58;0;0,11;0,11;0,3;0,38;2,5;4;1,5;3;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea;NO;Globosa;Bajo (0 - 33%);Regular;N/A;Fungosis;Insectos;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Fungosis;Insectos;N/A;N/A;N/A;N/A;N/A;N/A;Sin Podar;N/A;N/A;N/A;N/A;Ninguna;N/A;N/A;N/A;N/A;N/A;Ninguna;N/A;N/A;Ninguno;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Limpieza;Poda;Fertilizacion;N/A;N/A;N/A;N/A;Control Fitosanitario;N/A;0;872661,61;1058897,26;41348;Francesina, Monaca;Plaqueteado
34486;0301G02001429;301;El Nacional;3;41347;G02;Palma real de Cuba;Roystonea regia;Roystonea regia (Palma real de Cuba);Arecaceae;Palma;Maduro;0;Cesped;Si;Parque Urbano;1,87;1,62;0,52;0,52;0;0;6,5;8;1,5;6;0;Ninguna;N/A;Fuste Unico;1;Subterranea;NO;Columnar;Bajo (0 - 33%);Sano;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Sin Podar;N/A;N/A;Redes de servicios;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguna;N/A;N/A;Ninguno;Red Telefonica;Red Electrica;N/A;N/A;N/A;N/A;N/A;Limpieza;Poda;Fertilizacion;N/A;N/A;N/A;N/A;N/A;N/A;0;872660,32;1058903,23;41347;Palma real, Palma real de Cuba, Palma botella;Plaqueteado
34487;0301G02001430;301;El Nacional;3;41346;G02;Naranjo;Citrus aurantium;Citrus aurantium (Naranjo);Rutaceae;Arbusto;Maduro;0;Cesped;Si;Parque Urbano;0,58;0,44;0,14;0,14;0;0;3;5;2;4;0;Ninguna;N/A;Fuste Unico;1;Subterranea;NO;Globosa;Medio (34 - 66%);Regular;N/A;Fungosis;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Insectos;N/A;N/A;N/A;N/A;N/A;N/A;Sin Podar;N/A;N/A;N/A;N/A;Ninguna;N/A;N/A;N/A;N/A;N/A;Ninguna;N/A;N/A;Ninguno;N/A;N/A;N/A;Ninguna;N/A;N/A;N/A;Limpieza;Poda;Fertilizacion;N/A;N/A;N/A;N/A;Control Fitosanitario;N/A;0;872659,28;1058904,07;41346;Naranjo;Plaqueteado
34488;0301G02001431;301;El Nacional;3;41345;G02;Naranjo;Citrus aurantium;Citrus aurantium (Naranjo);Rutaceae;Arbusto;Longevo;0;Cesped;Si;Anden;0,54;0;0,11;0,11;0,3;0,4;2;4;2;4;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea;NO;Globosa;Bajo (0 - 33%);Regular;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Insectos;N/A;N/A;N/A;N/A;Parasitas;N/A;Sin Podar;N/A;N/A;Redes de servicios;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguna;N/A;N/A;Ninguno;Red Telefonica;Red Electrica;N/A;N/A;N/A;N/A;N/A;Limpieza;Poda;Fertilizacion;N/A;N/A;N/A;N/A;Control Fitosanitario;N/A;0;872658,56;1058907,59;41345;Naranjo;Plaqueteado
34489;0301G02001432;301;El Nacional;3;41342;G02;Chiminango;Pithecellobium dulce;Pithecellobium dulce (Chiminango);Fabaceae;Arbol;Maduro;0;Cesped;Si;Anden;1,24;0;0,14;0,14;0,28;0,59;3;9;6;10;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea;NO;Globosa;Medio (34 - 66%);Regular;N/A;Fungosis;Insectos;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Pudricion Base Tronco;Hueco;0,7;0,11;0,7;N/A;N/A;Insectos;Desrramamiento;N/A;N/A;N/A;Parasitas;N/A;Sin Podar;N/A;N/A;Redes de servicios;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguna;N/A;N/A;N/A;Red Telefonica;Red Electrica;N/A;N/A;N/A;N/A;N/A;Limpieza;Poda;Fertilizacion;N/A;N/A;N/A;N/A;Control Fitosanitario;N/A;0;872654,83;1058917,8;41342;Chiminango;Plaqueteado
34490;0301G02001433;301;El Nacional;3;41344;G02;Francesina, Monaca;Brunfelsia latifolia;Brunfelsia latifolia (Francesina, Monaca);Solanaceae;Planta arbustiva;Juvenil;0;Cesped;Si;Anden;0,31;0;0,07;0,07;0,15;0,3;2;3,5;1,5;3;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea;NO;Globosa;Bajo (0 - 33%);Regular;N/A;Fungosis;Insectos;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Fungosis;Insectos;N/A;N/A;N/A;N/A;N/A;N/A;Sin Podar;N/A;N/A;Redes de servicios;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguna;N/A;N/A;Ninguno;Red Telefonica;Red Electrica;N/A;N/A;N/A;N/A;N/A;Limpieza;Poda;Fertilizacion;N/A;N/A;N/A;N/A;Control Fitosanitario;N/A;0;872654,34;1058919,6;41344;Francesina, Monaca;Plaqueteado
34491;0301G02001434;301;El Nacional;3;41343;G02;Palma areca;Dypsis lutescens;Dypsis lutescens (Palma areca);Arecaceae;Palma;Maduro;0;Cesped;No;Anden;1,22;0,19;0,06;0,06;0;0;3;4,5;1,5;3;0;Ninguna;N/A;Fuste Unico;1;Subterranea;NO;Columnar;Bajo (0 - 33%);Sano;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Sin Podar;Infraestructura Habitacional o Comercial;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguna;N/A;N/A;Ninguno;N/A;N/A;N/A;Ninguna;N/A;N/A;N/A;Limpieza;Poda;Fertilizacion;N/A;N/A;N/A;N/A;N/A;N/A;0;872649;1058920,44;41343;Palma areca;Plaqueteado
34492;0301G02001435;301;El Nacional;3;41341;G02;Acacia robinia;Caesalpinia peltophoroides;Caesalpinia peltophoroides (Acacia robinia);Fabaceae;Arbol;Maduro;0;Cesped;Si;Anden;1,14;0,92;0,29;0,29;0;0;6;10;4;12;0;Ninguna;N/A;Fuste Unico;1;Subterranea;NO;Aparasolada;Medio (34 - 66%);Regular;N/A;Fungosis;Insectos;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Fungosis;Insectos;N/A;N/A;N/A;N/A;N/A;N/A;Sin Podar;N/A;N/A;Redes de servicios;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguna;N/A;N/A;Ninguno;N/A;Red Electrica;N/A;N/A;N/A;N/A;N/A;Limpieza;Poda;Fertilizacion;N/A;N/A;N/A;N/A;Control Fitosanitario;N/A;0;872647,22;1058934,76;41341;Acacia rubinia;Plaqueteado
