ID2;id;Barrio;barrio;comuna;Id_Arbol;grupo;nombre_comun;nombre_cientifico;union;familia;vegetacion;edad;perimetro;cobertura;confinamiento;emplazamiento;pb;pap;DAP;DAP2;papdel;papgrueso;altura_fuste;altura_arbol;diferencia;diametro_copa;inclinacion;orientacion;otra_orientacion;fuste;tallos;raiz;raiz_expuesta;copa;densidad_copa;vitalidad;bacteriosis_tronco;fungosis_tronco;insectos_tronco;ahorcamiento_tronco;anillamiento_tronco;golpes_tronco;machetazos_tronco;presencia_metales_tronco;acumulacion_escombros_tronco;quemaduras_tronco;pudricion_base_tronco;huecos_tronco;alto_huecos_tronco;ancho_huecos_tronco;propundidad_huecos_tronco;bacteriosis_follaje;fungosis_follaje;insectos_follaje;dasrramamiento_follaje;golpes_follaje;mutilacion_follaje;enrredos_follaje;parasitas_follaje;quemaduras_follaje;estado_poda;infraestructura_habitacional;infraestructura_vial;redes_de_servicio;moviliario_urbano;ninguna;red_telefonica_sub;red_electrica_sub;red_acueducto_sub;red_gas_sub;sin_identificar_sub;ninguna_cercania_sub;dano_ondulacion;dano_infraestructura;ningun_dano;red_telefonica_air;red_electrica_air;sin_identificar_air;ninguna_cercania_air;contacto_horizontal;contacto_inferior;contacto_superios;limpieza;poda;fertilizacion;construir_crecamiento;eliminar_piso_duro;eliminar_crecamiento;transplante;control_fitosanitario;ninguno2;erradicacion;Norte;Este;PLACA;ACT_NOM_ESP;OBSERVACION
112601;0901G01000004;901;Alameda;9;35178;G01;Ficus benjamina, Caucho benjamin;Ficus benjamina;Ficus benjamina (Ficus benjamina, Caucho benjamin);Moraceae;Arbol;Maduro;0;Piso duro;No;Anden;2,3;1,9;0,6;0,6;0;0;2,5;11;8,5;12;0;Ninguna;N/A;Fuste Unico;1;Subterranea;NO;Globosa;Medio (34 - 66%);Regular;Bacteriosis;Fungosis;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Sin Podar;N/A;N/A;N/A;N/A;Ninguna;N/A;N/A;N/A;N/A;N/A;Ninguna;Ondulacion Terreno;N/A;N/A;N/A;N/A;N/A;Ninguna;Horizontal;N/A;N/A;Limpieza;Poda;Fertilizacion;N/A;N/A;N/A;N/A;N/A;N/A;N/A;871807,86;1060013,08;35178;Ficus benjamina, Caucho benjamin;Plaqueteado
112602;0901G01000005;901;Alameda;9;35177;G01;Ficus benjamina, Caucho benjamin;Ficus benjamina;Ficus benjamina (Ficus benjamina, Caucho benjamin);Moraceae;Arbol;Maduro;0;Piso duro;No;Anden;3,4;5;1,59;1,59;0;0;3;13;10;12;0;Ninguna;N/A;Fuste Unico;1;Subterranea;NO;Globosa;Medio (34 - 66%);Regular;Bacteriosis;Fungosis;N/A;N/A;N/A;Golpes;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Bacteriosis;Fungosis;N/A;Desrramamiento;N/A;N/A;N/A;N/A;N/A;Sin Podar;Infraestructura Habitacional o Comercial;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguna;Ondulacion Terreno;Infraestructura;N/A;N/A;N/A;N/A;Ninguna;N/A;Inferior;N/A;Limpieza;Poda;Fertilizacion;N/A;N/A;N/A;N/A;N/A;N/A;N/A;871847,36;1059971,18;35177;Ficus benjamina, Caucho benjamin;Plaqueteado
112603;0901G01000006;901;Alameda;9;35176;G01;Mango;Mangifera indica;Mangifera indica (Mango);Anacardiaceae;Arbol;Maduro;0;Piso duro;No;Anden;2,2;0,94;0,3;0,3;0;0;3;10;7;15;0;Ninguna;N/A;Fuste Unico;1;Subterranea;NO;Globosa;Medio (34 - 66%);Regular;Bacteriosis;Fungosis;N/A;N/A;N/A;Golpes;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Fungosis;N/A;Desrramamiento;N/A;N/A;N/A;N/A;N/A;Sin Podar;Infraestructura Habitacional o Comercial;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguna;Ondulacion Terreno;Infraestructura;N/A;N/A;N/A;N/A;Ninguna;N/A;Inferior;N/A;Limpieza;Poda;Fertilizacion;N/A;N/A;N/A;N/A;N/A;N/A;N/A;871850,06;1059968,51;35176;Mango;Plaqueteado
112604;0901G01000007;901;Alameda;9;35175;G01;Mango;Mangifera indica;Mangifera indica (Mango);Anacardiaceae;Arbol;Maduro;0;Piso duro;No;Parque Urbano;2,4;1,4;0,45;0,45;0;0;3;12;9;9;0;Ninguna;N/A;Fuste Unico;1;Subterranea;NO;Globosa;Medio (34 - 66%);Regular;Bacteriosis;Fungosis;N/A;Ahorcamiento;N/A;Golpes;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Bacteriosis;Fungosis;N/A;Desrramamiento;N/A;N/A;N/A;N/A;N/A;Sin Podar;Infraestructura Habitacional o Comercial;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguna;Ondulacion Terreno;Infraestructura;N/A;N/A;N/A;N/A;Ninguna;Horizontal;N/A;N/A;Limpieza;Poda;Fertilizacion;N/A;N/A;N/A;N/A;N/A;N/A;N/A;871852,64;1059965,17;35175;Mango;Plaqueteado
112605;0901G01000008;901;Alameda;9;35174;G01;Catalpa, Crispeta;Catalpa longissima;Catalpa longissima (Catalpa, Crispeta);Bignoniaceae;Arbol;Maduro;0;Piso duro;No;Anden;2;1,6;0,51;0,51;0;0;6;9;3;7;20;Hacia la via;N/A;Fuste Unico;1;Subterranea;NO;Aparasolada;Bajo (0 - 33%);Regular;N/A;N/A;N/A;N/A;N/A;N/A;Machetazos;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Desrramamiento;N/A;N/A;N/A;N/A;N/A;Sin Podar;Infraestructura Habitacional o Comercial;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguna;Ondulacion Terreno;Infraestructura;N/A;N/A;N/A;N/A;Ninguna;N/A;N/A;Superior;Limpieza;Poda;Fertilizacion;N/A;N/A;N/A;N/A;N/A;N/A;N/A;871855,06;1059962,53;35174;Catalpa, Crispeta;Plaqueteado
112606;0901G01000009;901;Alameda;9;35173;G01;Mango;Mangifera indica;Mangifera indica (Mango);Anacardiaceae;Arbol;Maduro;0;Piso duro;No;Anden;2;1,04;0,33;0,33;0;0;2,5;8;5,5;9;20;Hacia la via;N/A;Fuste Unico;1;Subterranea;NO;Globosa;Medio (34 - 66%);Regular;N/A;N/A;N/A;N/A;Anillamiento;N/A;Machetazos;Presencia de metales;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Fungosis;N/A;Desrramamiento;N/A;N/A;N/A;N/A;N/A;Sin Podar;Infraestructura Habitacional o Comercial;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguna;Ondulacion Terreno;Infraestructura;N/A;N/A;N/A;N/A;Ninguna;N/A;Inferior;N/A;Limpieza;Poda;Fertilizacion;N/A;N/A;N/A;N/A;N/A;N/A;N/A;871858,26;1059959,29;35173;Mango;Plaqueteado
112607;0901G01000010;901;Alameda;9;35172;G01;Catalpa, Crispeta;Catalpa longissima;Catalpa longissima (Catalpa, Crispeta);Bignoniaceae;Arbol;Maduro;0;Piso duro;No;Anden;2,04;1,6;0,51;0,51;0;0;3;10;7;9;20;Hacia la via;N/A;Fuste Unico;1;Subterranea;NO;Globosa;Bajo (0 - 33%);Regular;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Presencia de metales;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Bacteriosis;Fungosis;N/A;N/A;N/A;Mutilacion;N/A;N/A;N/A;Sin Podar;Infraestructura Habitacional o Comercial;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguna;Ondulacion Terreno;Infraestructura;N/A;N/A;N/A;N/A;Ninguna;N/A;N/A;Superior;N/A;Poda;Fertilizacion;N/A;N/A;N/A;N/A;N/A;N/A;N/A;871859,79;1059956,81;35172;Catalpa, Crispeta;Plaqueteado
112609;0901G01000013;901;Alameda;9;35195;G01;Ebano;Geoffroea spinosa;Geoffroea spinosa (Ebano);Fabaceae;Arbusto;Maduro;0;Piso duro;No;Anden;0,4;0,3;0,1;0,1;0;0;1;2,5;1,5;5;0;Ninguna;N/A;Fuste Unico;1;Subterranea;NO;Globosa;Bajo (0 - 33%);Sano;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Sin Podar;N/A;N/A;N/A;N/A;Ninguna;N/A;N/A;N/A;N/A;N/A;Ninguna;N/A;N/A;Ninguno;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Poda;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;871939,87;1059923,78;35195;Ebano;Plaqueteado
112611;0901G01000015;901;Alameda;9;35194;G01;Cadmio, Cananga;Cananga odorata;Cananga odorata (Cadmio, Cananga);Annonaceae;Arbol;Maduro;0;Piso duro;No;Anden;1,5;1,4;0,45;0,45;0;0;4;12;8;9;20;Hacia la via;N/A;Fuste Unico;1;Subterranea;NO;Irregular;Bajo (0 - 33%);Regular;Bacteriosis;Fungosis;N/A;N/A;N/A;Golpes;Machetazos;Presencia de metales;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Bacteriosis;Fungosis;N/A;Desrramamiento;N/A;N/A;N/A;N/A;N/A;Sin Podar;N/A;N/A;Redes de servicios;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguna;Ondulacion Terreno;Infraestructura;N/A;Red Telefonica;N/A;N/A;N/A;N/A;N/A;N/A;Limpieza;Poda;Fertilizacion;N/A;N/A;N/A;N/A;N/A;N/A;N/A;871949,54;1059942,02;35194;Cadmia, Cananga;Plaqueteado
112612;0901G01000016;901;Alameda;9;35193;G01;Cadmio, Cananga;Cananga odorata;Cananga odorata (Cadmio, Cananga);Annonaceae;Arbol;Maduro;0;Piso duro;No;Anden;1,46;1,1;0,35;0,35;0;0;7;10;3;9;10;Hacia la via;N/A;Fuste Unico;1;Subterranea;NO;Globosa;Bajo (0 - 33%);Regular;N/A;N/A;N/A;N/A;N/A;N/A;Machetazos;Presencia de metales;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Bacteriosis;Fungosis;N/A;Desrramamiento;N/A;N/A;N/A;N/A;N/A;Sin Podar;N/A;N/A;Redes de servicios;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguna;Ondulacion Terreno;N/A;N/A;Red Telefonica;Red Electrica;N/A;N/A;N/A;N/A;N/A;N/A;Poda;Fertilizacion;N/A;N/A;N/A;N/A;N/A;N/A;N/A;871947,76;1059959,17;35193;Cadmia, Cananga;Plaqueteado
