id,nombre_comun,vegetacion,edad,pb,pap,dap,dap2,papdel,papgrueso,altura_fuste,altura_arbol,diferencia,diametro_copa,fuste,tallos,raiz,raiz_expuesta,copa,densidad_copa,vitalidad,norte,este
15,"Palma de yuca",Palma,Longevo,1.1,0.62,0.2,0.2,0,0,1.6,4,2.4,1.2,0,1,0,0,0,"Medio (34 - 66%)",Regular,873701,1057650
16,Naranjo,Arbusto,Maduro,0.74,0,0.11,0.11,0.32,0.35,3,6,3,5,0,3,0,0,0,"Bajo (0 - 33%)",Regular,873701,1057660
17,"Cojon de cabrito, Pepa de cabra, Cajeto, Enebro",Arbusto,Maduro,0.77,0,0.12,0.12,0.33,0.4,2.8,5,2.2,6.5,0,3,0,0,0,"Medio (34 - 66%)",Regular,873703,1057670
18,"Limon swinglea, Swinglea",Arbol,Maduro,1.33,0,0.26,0.26,0.78,0.85,5,9,4,7,0,2,0,0,0,"Alto (67 - 100%)",Regular,873691,1057660
19,"Guayacan carrapo",Arbol,Maduro,1.13,0,0.23,0.23,0.63,0.84,6,9.5,3.5,8,0,2,0,0,0,"Alto (67 - 100%)",Regular,873697,1057670
20,"Palma areca",Palma,Longevo,1.9,0,0.08,0.08,0.2,0.28,5,7.5,2.5,6.5,0,7,0,0,0,"Medio (34 - 66%)",Regular,873697,1057670
21,"Acacia robinia",Arbol,Maduro,0.85,0,0.2,0.2,0.49,0.75,5,8.5,3.5,8,0,2,0,0,0,"Alto (67 - 100%)",Sano,873710,1057670
22,"Acacia robinia",Arbol,Juvenil,0.98,0.78,0.25,0.25,0,0,4,6,2,5,0,1,0,0,0,"Alto (67 - 100%)",Regular,873708,1057660
23,"Guayacan rosado",Arbol,Maduro,0.69,0.48,0.15,0.15,0,0,3,6,3,6,0,1,0,0,0,"Medio (34 - 66%)",Regular,873710,1057660
24,Jagua,Arbol,Maduro,0.68,0.57,0.18,0.18,0,0,5,9.5,4.5,5.5,0,1,0,0,0,"Alto (67 - 100%)",Regular,873708,1057650
25,Leucaena,Arbol,Juvenil,0.2,0.14,0.04,0.04,0,0,2,4.5,2.5,1.8,0,1,0,0,0,"Medio (34 - 66%)",Sano,873705,1057650
26,"Acacia robinia",Arbol,Juvenil,1.23,0,0.19,0.19,0.52,0.67,6,9,3,10,0,3,0,0,0,"Alto (67 - 100%)",Regular,873708,1057650
27,"Palma de yuca",Palma,Maduro,0.32,0,0.07,0.07,0.22,0.23,1,2,1,1.2,0,3,0,0,0,"Medio (34 - 66%)",Regular,873696,1057650
28,"Palma areca",Palma,Maduro,1,0,0.05,0.05,0.14,0.19,0.5,2.8,2.3,2,0,2,0,0,0,"Medio (34 - 66%)",Regular,873696,1057650
29,Mango,Arbol,Maduro,0.52,0.41,0.13,0.13,0,0,2.2,4.5,2.3,5,0,1,0,0,0,"Alto (67 - 100%)",Regular,873810,1057800
30,"Cardenal, Sombrilla japonesa, Flor de Pascua",Arbusto,Maduro,0.37,0,0.05,0.05,0.14,0.18,1,2.4,1.4,1.8,0,2,0,0,0,"Bajo (0 - 33%)",Regular,873813,1057800
31,Limon,Arbusto,Maduro,0.62,0,0.08,0.08,0.18,0.3,1.8,3.6,1.8,3,0,4,0,0,0,"Alto (67 - 100%)",Sano,873813,1057800
32,Aguacate,Arbol,Maduro,0.27,0,0.05,0.05,0.14,0.15,0.5,2.4,1.9,2.6,0,3,0,0,0,"Alto (67 - 100%)",Sano,873817,1057800
33,Mango,Arbol,Maduro,0.46,0.31,0.1,0.1,0,0,1.7,3.6,1.9,3,0,1,0,0,0,"Alto (67 - 100%)",Sano,873821,1057800
34,Mango,Arbol,Maduro,0.37,0,0.05,0.05,0.15,0.19,1.5,2.8,1.3,2.4,0,2,0,0,0,"Alto (67 - 100%)",Sano,873830,1057800
35,"Guayacan rosado",Arbol,Maduro,0.33,0.2,0.06,0.06,0,0,2.6,3.2,0.6,2,0,1,0,0,0,"Medio (34 - 66%)",Regular,873830,1057810
36,"Guayacan rosado",Arbol,Maduro,0.3,0.2,0.06,0.06,0,0,2,3.1,1.1,2,0,1,0,0,0,"Medio (34 - 66%)",Regular,873836,1057810
37,"Guayacan rosado",Arbol,Maduro,0.22,0.1,0.03,0.03,0,0,1.5,2.4,0.9,1.3,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873834,1057820
38,Mango,Arbol,Maduro,0.85,0,0.1,0.1,0.24,0.41,1.9,4.5,2.6,5,0,9,0,0,0,"Alto (67 - 100%)",Regular,873827,1057830
39,Aguacate,Arbol,Maduro,0.5,0.37,0.12,0.12,0,0,2,4.8,2.8,3.8,0,1,0,0,0,"Medio (34 - 66%)",Regular,873829,1057830
40,"Palma de azucar",Palma,Juvenil,0.95,0.84,0.27,0.27,0,0,1.7,5.5,3.8,4.2,0,1,0,0,0,"Medio (34 - 66%)",Regular,873870,1057860
41,Guacimo,Arbol,Juvenil,0.28,0.16,0.05,0.05,0,0,1.4,3,1.6,2.1,0,1,0,0,0,"Medio (34 - 66%)",Regular,873878,1057880
42,Guacimo,Arbol,Juvenil,0.35,0.2,0.06,0.06,0,0,0.5,3,2.5,1.7,0,1,0,0,0,"Medio (34 - 66%)",Regular,873880,1057880
43,"Pino azul",Arbol,Maduro,0.5,0,0.07,0.07,0.14,0.33,1,2.4,1.4,1.5,0,5,0,0,0,"Alto (67 - 100%)",Regular,873796,1057990
44,"Palma manila, Palma navidad",Palma,Maduro,0.79,0.44,0.14,0.14,0,0,2,3.5,1.5,2.2,0,1,0,0,0,"Medio (34 - 66%)",Regular,873796,1058000
45,"Palma manila, Palma navidad",Palma,Maduro,0.77,0.5,0.16,0.16,0,0,2,4,2,2.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873797,1058010
46,"Palma de coco",Palma,Maduro,1.86,1.19,0.38,0.38,0,0,3.5,8,4.5,5.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873797,1058020
47,"Palma areca",Palma,Maduro,0.51,0,0.04,0.04,0.13,0.14,1.8,2.6,0.8,1,0,2,0,0,0,"Bajo (0 - 33%)",Regular,873838,1058090
48,"Palma areca",Palma,Maduro,1.71,0,0.05,0.05,0.13,0.21,1,2.8,1.8,2.9,0,7,0,0,0,"Medio (34 - 66%)",Regular,873841,1058090
49,"Palma areca",Palma,Maduro,0.92,0,0.07,0.07,0.2,0.25,1.5,3.5,2,3.8,0,2,0,0,0,"Medio (34 - 66%)",Regular,873845,1058090
50,"Palma areca",Palma,Maduro,0.84,0,0.06,0.06,0.18,0.2,1,2.8,1.8,2,0,2,0,0,0,"Medio (34 - 66%)",Regular,873826,1058100
51,"Palma areca",Palma,Maduro,0.98,0,0.1,0.1,0.29,0.32,6,7.5,1.5,4,0,2,0,0,0,"Bajo (0 - 33%)",Regular,873536,1057600
52,"Palma areca",Palma,Maduro,0.25,0.2,0.06,0.06,0,0,2.8,4.2,1.4,2.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873535,1057600
53,"Palma areca",Palma,Maduro,1.62,0,0.09,0.09,0.28,0.3,3.5,6,2.5,6,0,4,0,0,0,"Alto (67 - 100%)",Regular,873531,1057600
54,"Dracaena, Cancion de la India","Planta arbustiva",Maduro,0.74,0,0.1,0.1,0.25,0.36,2,5,3,2.4,0,3,0,0,0,"Alto (67 - 100%)",Regular,873530,1057600
55,"Millonaria, Crispa","Planta arbustiva",Maduro,0.67,0,0.05,0.05,0.1,0.2,3,7,4,1.6,0,10,0,0,0,"Alto (67 - 100%)",Regular,873528,1057600
56,"Palma areca",Palma,Maduro,2.06,0,0.12,0.12,0.32,0.43,3.5,6,2.5,7,0,5,0,0,0,"Medio (34 - 66%)",Regular,873526,1057600
57,"Carbonero de flor roja",Arbusto,Maduro,0.45,0.31,0.1,0.1,0,0,2.5,3,0.5,5,0,1,0,0,0,"Alto (67 - 100%)",Regular,873594,1057830
58,Chiminango,Arbol,Maduro,2.27,0,0.45,0.45,0.94,1.9,4,10,6,18,0,2,0,0,0,"Medio (34 - 66%)",Regular,873576,1057830
59,Chiminango,Arbol,Maduro,1.18,0,0.25,0.25,0.74,0.82,4,13,9,8,0,2,0,0,0,"Medio (34 - 66%)",Regular,873579,1057830
60,"Jazmin de noche, Caballero de la noche",Arbusto,Maduro,0.88,0,0.03,0.03,0.07,0.1,1.2,2.4,1.2,3,0,5,0,0,0,"Medio (34 - 66%)",Regular,873576,1057840
61,"Chiminango rojo, Espina de mono",Arbol,Maduro,0.65,0.49,0.16,0.16,0,0,3.5,7,3.5,4,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873578,1057840
62,Aguacate,Arbol,Maduro,0.36,0,0.06,0.06,0.16,0.22,1.5,4.2,2.7,3,0,2,0,0,0,"Alto (67 - 100%)",Regular,873571,1057790
63,"Arrayan cerezo",Arbusto,Maduro,0.42,0,0.04,0.04,0.1,0.15,1.8,3,1.2,2.6,0,3,0,0,0,"Medio (34 - 66%)",Regular,873574,1057790
64,Aguacate,Arbol,Maduro,0.42,0,0.09,0.09,0.28,0.3,3,7,4,6,0,3,0,0,0,"Alto (67 - 100%)",Regular,873570,1057790
65,"Nacedero, Madre de agua",Arbol,Maduro,0.32,0,0.04,0.04,0.1,0.12,0.6,2.5,1.9,1.8,0,3,0,0,0,"Medio (34 - 66%)",Regular,873563,1057770
66,"Nacedero, Madre de agua",Arbol,Maduro,0.25,0,0.04,0.04,0.1,0.13,0.7,2,1.3,1.5,0,2,0,0,0,"Alto (67 - 100%)",Regular,873561,1057770
67,"Saman, Genizaro",Arbol,Maduro,0.47,0,0.06,0.06,0.17,0.22,2,4,2,4.5,0,2,0,0,0,"Alto (67 - 100%)",Regular,873539,1057740
68,Leucaena,Arbol,Juvenil,0.32,0.27,0.09,0.09,0,0,2.2,6,3.8,4,0,1,0,0,0,"Medio (34 - 66%)",Regular,873535,1057750
69,Guanabano,Arbol,Maduro,0.27,0.18,0.06,0.06,0,0,1.7,3,1.3,1.8,0,1,0,0,0,"Alto (67 - 100%)",Regular,873536,1057740
70,Leucaena,Arbol,Maduro,0.28,0.19,0.06,0.06,0,0,2,5,3,4,0,1,0,0,0,"Medio (34 - 66%)",Regular,873537,1057750
71,"Palma areca",Palma,Maduro,0.43,0.27,0.09,0.09,0,0,2.8,3.4,0.6,3.2,0,1,0,0,0,"Medio (34 - 66%)",Regular,873495,1057710
72,Guayabo,Arbusto,Maduro,0.57,0,0.12,0.12,0.37,0.4,2.4,5,2.6,6,0,2,0,0,0,"Alto (67 - 100%)",Regular,873495,1057710
73,"Saman, Genizaro",Arbol,Maduro,0.62,0.54,0.17,0.17,0,0,2.2,5,2.8,8.5,0,1,0,0,0,"Alto (67 - 100%)",Regular,873495,1057720
74,"Limon swinglea, Swinglea",Arbol,Juvenil,0.81,0.61,0.19,0.19,0,0,2.5,5.8,3.3,7,0,1,0,0,0,"Alto (67 - 100%)",Regular,873501,1057720
75,"Saman, Genizaro",Arbol,Maduro,2.54,2.3,0.73,0.73,0,0,6,12,6,25,0,1,0,0,0,"Alto (67 - 100%)",Regular,873531,1057770
76,Chiminango,Arbol,Maduro,1.3,0,0.23,0.23,0.59,0.88,3,9.5,6.5,12,0,4,0,0,0,"Medio (34 - 66%)",Regular,873553,1057780
77,Guacimo,Arbol,Juvenil,1.2,0,0.14,0.14,0.33,0.54,2,4.5,2.5,6,0,3,0,0,0,"Alto (67 - 100%)",Regular,873503,1057780
78,"Saman, Genizaro",Arbol,Juvenil,6,0,0.38,0.38,0.8,1.6,2.5,10,7.5,15,0,5,0,0,0,"Alto (67 - 100%)",Regular,873501,1057770
79,"Aliso de rio, Sauce playero",Arbol,Maduro,0.35,0.29,0.09,0.09,0,0,3,5,2,4,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873498,1057810
80,Higuerilla,Arbusto,Maduro,1.1,0,0.06,0.06,0.12,0.27,0.8,2.8,2,4,0,7,0,0,0,"Alto (67 - 100%)",Regular,873506,1057840
81,Leucaena,Arbol,Maduro,0.83,0.82,0.26,0.26,0,0,2.5,8,5.5,10,0,1,0,0,0,"Alto (67 - 100%)",Regular,873557,1057910
82,"Limon swinglea, Swinglea",Arbol,Maduro,0.8,0.62,0.2,0.2,0,0,2.6,6,3.4,5,0,1,0,0,0,"Alto (67 - 100%)",Regular,873569,1057920
83,"Limon swinglea, Swinglea",Arbol,Maduro,0.8,0.66,0.21,0.21,0,0,2,5,3,4,0,1,0,0,0,"Alto (67 - 100%)",Regular,873571,1057920
84,"Limon swinglea, Swinglea",Arbol,Juvenil,0.42,0,0.05,0.05,0.1,0.23,1.5,5,3.5,3,0,5,0,0,0,"Alto (67 - 100%)",Regular,873570,1057910
85,Leucaena,Arbol,Maduro,1.65,0,0.21,0.21,0.63,0.66,3,5,2,8,0,2,0,0,0,"Medio (34 - 66%)",Regular,873589,1057940
86,Guacimo,Arbol,Maduro,3.68,0,0.18,0.18,0.43,0.7,2.5,6,3.5,9,0,5,0,0,0,"Alto (67 - 100%)",Regular,873634,1057950
87,"Palma africana",Palma,Maduro,2.7,2.25,0.72,0.72,0,0,2.5,6,3.5,7.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873638,1057950
88,"Dracaena roja","Planta arbustiva",Maduro,1,0,0.04,0.04,0.12,0.14,0.5,3.8,3.3,2,0,7,0,0,0,"Alto (67 - 100%)",Regular,873642,1057950
89,"Palma africana",Palma,Maduro,2.86,1.39,0.44,0.44,0,0,5.5,9,3.5,8,0,1,0,0,0,"Medio (34 - 66%)",Regular,873643,1057960
90,Guacimo,Arbol,Maduro,1.37,0,0.27,0.27,0.82,0.89,3.5,8.5,5,10,0,2,0,0,0,"Bajo (0 - 33%)",Muerto,873642,1057960
91,"Caucho, Caucho de la India",Arbol,Maduro,9.2,10,3.18,3.18,0,0,3.5,10.5,7,24,0,1,0,0,0,"Alto (67 - 100%)",Regular,873645,1057960
92,"Acacia robinia",Arbol,Maduro,1.31,0,0.17,0.17,0.31,0.77,2.8,6,3.2,10,0,5,0,0,0,"Alto (67 - 100%)",Regular,873645,1057980
93,"Saman, Genizaro",Arbol,Maduro,1.3,0,0.25,0.25,0.72,0.86,3,8.5,5.5,11,0,2,0,0,0,"Medio (34 - 66%)",Regular,873614,1057990
94,Chiminango,Arbol,Maduro,0.28,0.19,0.06,0.06,0,0,2,3.2,1.2,2.5,0,1,0,0,0,"Alto (67 - 100%)",Regular,873646,1057980
95,Jagua,Arbol,Maduro,1.14,1.46,0.46,0.46,0,0,3,7.5,4.5,12,0,1,0,0,0,"Alto (67 - 100%)",Regular,873660,1058030
96,Almendro,Arbol,Maduro,1.26,1.35,0.43,0.43,0,0,5,7,2,15,0,1,0,0,0,"Alto (67 - 100%)",Regular,873658,1058030
97,"Dracaena roja","Planta arbustiva",Maduro,0.72,0,0.05,0.05,0.13,0.2,1.6,5,3.4,1.8,0,6,0,0,0,"Alto (67 - 100%)",Regular,873655,1058040
98,"Acacia robinia",Arbol,Maduro,0.5,0,0.06,0.06,0.16,0.24,2,4,2,5,0,6,0,0,0,"Alto (67 - 100%)",Regular,873651,1058040
99,Almendro,Arbol,Maduro,0.9,0.72,0.23,0.23,0,0,5,7,2,5.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873656,1058040
100,"Palma areca",Palma,Maduro,0.55,0,0.05,0.05,0.16,0.17,1.5,3.2,1.7,2.8,0,2,0,0,0,"Medio (34 - 66%)",Regular,873661,1058040
101,"Palma areca",Palma,Maduro,1.15,0.25,0.08,0.08,0,0,1.7,3.5,1.8,2.4,0,1,0,0,0,"Medio (34 - 66%)",Regular,873661,1058060
102,"Palma de coco",Palma,Maduro,0.75,0.65,0.21,0.21,0,0,6.5,8.5,2,3.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873664,1058060
103,"Guayacan rosado",Arbol,Maduro,1.4,1.3,0.41,0.41,0,0,5,14,9,8.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873669,1058060
104,"Palma areca",Palma,Maduro,0.9,0,0.08,0.08,0.23,0.27,3.1,4.6,1.5,6,0,2,0,0,0,"Medio (34 - 66%)",Regular,873669,1058070
105,"Palma de yuca",Palma,Maduro,0.52,0.32,0.1,0.1,0,0,0.5,2.8,2.3,1,0,1,0,0,0,"Alto (67 - 100%)",Regular,873668,1058070
106,"Dracaena roja","Planta arbustiva",Maduro,0.61,0,0.06,0.06,0.14,0.25,0.8,5.8,5,3,0,7,0,0,0,"Alto (67 - 100%)",Regular,873671,1058070
107,"Acacia robinia",Arbol,Maduro,1.31,0,0.28,0.28,0.81,0.92,4,10,6,9,0,2,0,0,0,"Alto (67 - 100%)",Regular,873669,1058070
108,"Dracaena roja","Planta arbustiva",Maduro,0.41,0.33,0.11,0.11,0,0,3,5,2,5,0,1,0,0,0,"Bajo (0 - 33%)",Muerto,873670,1058070
109,Mamoncillo,Arbol,Maduro,0.69,0.61,0.19,0.19,0,0,4,9,5,5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873669,1058080
110,Leucaena,Arbol,Maduro,1,0.9,0.29,0.29,0,0,6.5,10,3.5,6,0,1,0,0,0,"Medio (34 - 66%)",Regular,873669,1058080
111,"Acacia robinia",Arbol,Maduro,1.64,0,0.34,0.34,0.76,1.35,4,9.5,5.5,12,0,3,0,0,0,"Alto (67 - 100%)",Regular,873682,1058090
112,"Acacia robinia",Arbol,Maduro,1.38,0,0.24,0.24,0.66,0.86,3,10,7,6,0,2,0,0,0,"Alto (67 - 100%)",Regular,873677,1058100
113,"Acacia robinia",Arbol,Maduro,1.12,0,0.18,0.18,0.42,0.74,4,7,3,8,0,4,0,0,0,"Medio (34 - 66%)",Regular,873681,1058100
114,"Palma areca",Palma,Maduro,1.57,0,0.06,0.06,0.19,0.2,0.5,2.5,2,2.8,0,4,0,0,0,"Bajo (0 - 33%)",Regular,873581,1057680
115,Almendro,Arbol,Maduro,1.03,0.8,0.25,0.25,0,0,4,6,2,6.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873604,1057760
116,"Ceiba, Ceiba bruja, Ceiba de lana, Bonga",Arbol,Maduro,0.85,0.82,0.26,0.26,0,0,3,4.5,1.5,5.7,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873623,1057850
117,"Arbol de la cruz, Ariza",Arbusto,Maduro,0.8,0,0.08,0.08,0.23,0.25,1.8,3.4,1.6,4.3,0,2,0,0,0,"Bajo (0 - 33%)",Regular,873626,1057850
118,"Saman, Genizaro",Arbol,Maduro,0.95,0.57,0.18,0.18,0,0,3,4.5,1.5,7.4,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873619,1057850
119,"Caucho matapalo",Arbol,Maduro,1.6,0,0.14,0.14,0.33,0.52,3,6.5,3.5,8,0,5,0,0,0,"Medio (34 - 66%)",Regular,873612,1057850
120,"Pino tuya, Pino libro",Arbusto,Maduro,0.7,0,0.06,0.06,0.18,0.21,0.4,2,1.6,1.7,0,4,0,0,0,"Alto (67 - 100%)",Sano,873746,1057800
121,"Pino tuya, Pino libro",Arbusto,Maduro,0.39,0,0.07,0.07,0.13,0.32,0.4,1.7,1.3,1.2,0,2,0,0,0,"Alto (67 - 100%)",Sano,873765,1057790
122,"Saman, Genizaro",Arbol,Maduro,2.13,1.87,0.6,0.6,0,0,4.2,8.2,4,7.3,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873789,1057760
123,Cipres,Arbol,Maduro,0.81,0.71,0.23,0.23,0,0,4,7.5,3.5,4.4,0,1,0,0,0,"Medio (34 - 66%)",Regular,873765,1057730
124,"Aceituna, Maria Eugenia, Jambolan",Arbol,Maduro,1.07,0.83,0.26,0.26,0,0,4,8,4,5.5,0,1,0,0,0,"Alto (67 - 100%)",Regular,873762,1057730
125,"Guayacan rosado",Arbol,Maduro,0.88,0.8,0.25,0.25,0,0,5,6.5,1.5,9,0,1,0,0,0,"Medio (34 - 66%)",Regular,873762,1057730
126,"Dracaena roja","Planta arbustiva",Maduro,0.6,0,0.08,0.08,0.17,0.34,0.8,2.2,1.4,1.5,0,4,0,0,0,"Medio (34 - 66%)",Regular,873751,1057730
127,"Totumo, Mate, Calabazo",Arbusto,Maduro,0.24,0,0.04,0.04,0.09,0.14,0.3,2.4,2.1,2.3,0,3,0,0,0,"Bajo (0 - 33%)",Regular,873737,1057710
128,Gualanday,Arbol,Maduro,0.35,0,0.04,0.04,0.11,0.11,1.6,3.8,2.2,2.1,0,3,0,0,0,"Bajo (0 - 33%)",Regular,873736,1057700
129,"Palma africana",Palma,Maduro,2.25,0.87,0.28,0.28,0,0,1.6,4,2.4,4.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873729,1057700
130,"Cojon de cabrito, Pepa de cabra, Cajeto, Enebro",Arbusto,Maduro,0.59,0,0.04,0.04,0.1,0.15,1.7,3.6,1.9,2.8,0,3,0,0,0,"Bajo (0 - 33%)",Regular,873701,1057640
131,"Clavellino, Mariposa",Arbusto,Maduro,0.7,0.5,0.16,0.16,0,0,2.2,4.2,2,4,0,1,0,0,0,"Medio (34 - 66%)",Regular,873702,1057650
132,"Ficus benjamina, Caucho benjamin",Arbol,Maduro,0.97,0.57,0.18,0.18,0,0,3,6.5,3.5,4.3,0,1,0,0,0,"Medio (34 - 66%)",Regular,873705,1057640
133,Gualanday,Arbol,Maduro,0.87,0.68,0.22,0.22,0,0,3,8,5,4.5,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873713,1057640
134,"Acacia roja, Flamboyan",Arbol,Maduro,1.9,1.43,0.46,0.46,0,0,4,8,4,15,0,1,0,0,0,"Medio (34 - 66%)",Regular,873722,1057640
135,"Ficus benjamina, Caucho benjamin",Arbol,Maduro,3.19,0,0.57,0.57,1.44,2.16,7,15,8,19,0,2,0,0,0,"Medio (34 - 66%)",Regular,873788,1057650
136,"Pino tuya, Pino libro",Arbusto,Maduro,0.3,0.38,0.12,0.12,0,0,0.3,1.6,1.3,1,0,1,0,0,0,"Medio (34 - 66%)",Sano,873752,1057820
137,"Pino tuya, Pino libro",Arbusto,Maduro,0.36,0,0.11,0.11,0.33,0.36,0.3,1.6,1.3,1.7,0,2,0,0,0,"Alto (67 - 100%)",Sano,873754,1057830
138,"Ebano, Ebano costeno",Arbol,Maduro,0.4,0,0.09,0.09,0.25,0.3,1.4,2.4,1,2.8,0,2,0,0,0,"Alto (67 - 100%)",Sano,873759,1057840
139,"Habano, Azuceno, Habano rosado",Arbusto,Maduro,0.95,0,0.1,0.1,0.23,0.41,2,3.8,1.8,3.3,0,3,0,0,0,"Bajo (0 - 33%)",Regular,873766,1057850
140,"Pino tuya, Pino libro",Arbusto,Maduro,0.35,0,0.09,0.09,0.17,0.39,0.4,1.9,1.5,1.7,0,2,0,0,0,"Alto (67 - 100%)",Sano,873774,1057870
141,"Palma manila, Palma navidad",Palma,Maduro,0.79,0.47,0.15,0.15,0,0,1.7,4,2.3,2.5,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873778,1057880
142,"Palma areca",Palma,Maduro,1.56,0,0.08,0.08,0.18,0.34,2,4,2,4,0,6,0,0,0,"Bajo (0 - 33%)",Regular,873778,1057880
143,Resucitado,Arbusto,Maduro,0.6,0,0.07,0.07,0.17,0.27,0.4,2,1.6,1.9,0,4,0,0,0,"Alto (67 - 100%)",Sano,873780,1057890
144,"Palma manila, Palma navidad",Palma,Maduro,0.9,0.5,0.16,0.16,0,0,1.7,3.8,2.1,2.3,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873784,1057900
145,"Acacia robinia",Arbol,Maduro,0.51,0,0.09,0.09,0.27,0.31,2.2,4,1.8,4.1,0,2,0,0,0,"Medio (34 - 66%)",Sano,873783,1057910
146,"Pino tuya, Pino libro",Arbusto,Maduro,0.41,0,0.07,0.07,0.13,0.31,0.4,2.4,2,1.6,0,3,0,0,0,"Alto (67 - 100%)",Sano,873793,1057940
147,"Palma areca",Palma,Maduro,1.1,0,0.08,0.08,0.24,0.26,1.8,4,2.2,3,0,3,0,0,0,"Bajo (0 - 33%)",Regular,873792,1057940
148,"Palma manila, Palma navidad",Palma,Maduro,0.58,0.46,0.15,0.15,0,0,2,3.8,1.8,2.7,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873797,1057950
149,Cheflera,Arbol,Maduro,0.56,0.45,0.14,0.14,0,0,1.6,5.2,3.6,2.5,0,1,0,0,0,"Alto (67 - 100%)",Regular,873797,1057950
150,Almendro,Arbol,Maduro,0.39,0.3,0.1,0.1,0,0,2,2.5,0.5,3.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873820,1057940
151,"Palma manila, Palma navidad",Palma,Maduro,0.85,0.43,0.14,0.14,0,0,1.1,3,1.9,2.3,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873854,1057950
152,"Pino tuya, Pino libro",Arbusto,Maduro,0.35,0,0.11,0.11,0.31,0.37,0.9,2.4,1.5,1.6,0,2,0,0,0,"Alto (67 - 100%)",Sano,873813,1057960
153,"Ebano, Ebano costeno",Arbol,Maduro,0.5,0,0.1,0.1,0.23,0.42,1.7,2.6,0.9,4,0,3,0,0,0,"Alto (67 - 100%)",Sano,873794,1057960
154,"Ebano, Ebano costeno",Arbol,Maduro,0.25,0.24,0.08,0.08,0,0,2,3.3,1.3,2,0,1,0,0,0,"Medio (34 - 66%)",Regular,873798,1057970
155,"Ebano, Ebano costeno",Arbol,Maduro,0.15,0.15,0.05,0.05,0,0,2.2,2.8,0.6,1.9,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873801,1057970
156,"Ebano, Ebano costeno",Arbol,Maduro,0.17,0.14,0.04,0.04,0,0,2.2,3,0.8,1.5,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873800,1057980
157,"Ebano, Ebano costeno",Arbol,Maduro,0.13,0.1,0.03,0.03,0,0,2,3.5,1.5,2,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873799,1057980
158,"Jazmin de noche, Caballero de la noche",Arbusto,Maduro,0.47,0,0.06,0.06,0.16,0.21,0.9,2.4,1.5,2.6,0,3,0,0,0,"Medio (34 - 66%)",Regular,873802,1057980
159,"Palma real de Cuba",Palma,Maduro,0.93,0.54,0.17,0.17,0,0,2,4,2,2,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873800,1057980
160,"Palma manila, Palma navidad",Palma,Maduro,0.89,0.6,0.19,0.19,0,0,1.8,4,2.2,2.5,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873799,1058040
161,"Guayacan, Guayaco",Arbol,Maduro,0.64,0,0.09,0.09,0.22,0.36,1.7,3.5,1.8,4.4,0,5,0,0,0,"Alto (67 - 100%)",Sano,873797,1058040
162,"Palma manila, Palma navidad",Palma,Maduro,0.84,0.5,0.16,0.16,0,0,1.9,4,2.1,2.8,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873798,1058060
163,"Palma manila, Palma navidad",Palma,Maduro,0.76,0.53,0.17,0.17,0,0,2,4.4,2.4,3,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873799,1058080
164,"Ebano, Ebano costeno",Arbol,Maduro,0.66,0,0.1,0.1,0.29,0.34,1.8,2.7,0.9,3.1,0,3,0,0,0,"Alto (67 - 100%)",Regular,873883,1058110
165,"Ebano, Ebano costeno",Arbol,Maduro,0.68,0.76,0.24,0.24,0,0,1.6,2.8,1.2,3.8,0,1,0,0,0,"Alto (67 - 100%)",Sano,873887,1058100
166,"Palma manila, Palma navidad",Palma,Maduro,0.55,0.28,0.09,0.09,0,0,1,2.3,1.3,1.9,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873874,1058100
167,"Palma areca",Palma,Maduro,0.85,0,0.06,0.06,0.17,0.19,1,2.5,1.5,2.4,0,3,0,0,0,"Bajo (0 - 33%)",Sano,873815,1058100
