ID2;id;Barrio;barrio;comuna;Id_Arbol;grupo;nombre_comun;nombre_cientifico;union;familia;vegetacion;edad;perimetro;cobertura;confinamiento;emplazamiento;pb;pap;DAP;DAP2;papdel;papgrueso;altura_fuste;altura_arbol;diferencia;diametro_copa;inclinacion;orientacion;otra_orientacion;fuste;tallos;raiz;raiz_expuesta;copa;densidad_copa;vitalidad;bacteriosis_tronco;fungosis_tronco;insectos_tronco;ahorcamiento_tronco;anillamiento_tronco;golpes_tronco;machetazos_tronco;presencia_metales_tronco;acumulacion_escombros_tronco;quemaduras_tronco;pudricion_base_tronco;huecos_tronco;alto_huecos_tronco;ancho_huecos_tronco;propundidad_huecos_tronco;bacteriosis_follaje;fungosis_follaje;insectos_follaje;dasrramamiento_follaje;golpes_follaje;mutilacion_follaje;enrredos_follaje;parasitas_follaje;quemaduras_follaje;estado_poda;infraestructura_habitacional;infraestructura_vial;redes_de_servicio;moviliario_urbano;ninguna;red_telefonica_sub;red_electrica_sub;red_acueducto_sub;red_gas_sub;sin_identificar_sub;ninguna_cercania_sub;dano_ondulacion;dano_infraestructura;ningun_dano;red_telefonica_air;red_electrica_air;sin_identificar_air;ninguna_cercania_air;contacto_horizontal;contacto_inferior;contacto_superios;limpieza;poda;fertilizacion;construir_crecamiento;eliminar_piso_duro;eliminar_crecamiento;transplante;control_fitosanitario;ninguno2;erradicacion;Norte;Este;PLACA;ACT_NOM_ESP;OBSERVACION
153699;1308G22138091;1308;El Diamante;13;138091;G22 ;Leucaena;Leucaena leucocephala;Leucaena leucocephala (Leucaena);Fabaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Separador Vial                     ;0,62;0,45;0,14;0,14;0;0;1,5;7;5,5;9;20;Direccion de la via           ;N/A;Fuste Unico         ;1;Subterranea    ;No;Globosa        ;Medio (34 - 66%)    ;Regular ;N/A;N/A;Insectos      ;N/A;N/A;Golpes                    ;Machetazos                ;N/A;N/A;N/A;N/A;Hueco;0,47;0,1;0,08;N/A;N/A;Insectos      ;N/A;Golpes                    ;Mutilacion                ;N/A;N/A;N/A;Poda No Tecnica;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguno             ;N/A;N/A;N/A;N/A;N/A;Inferior  ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Erradicacion            ;870202,47;1063605,45;N/A;N/A;N/A
153700;1308G22138092;1308;El Diamante;13;138092;G22 ;Castano;Pachira insignes;Pachira insignes (Castano);Malvaceae;Arbol;Juvenil        ;N/A;Cesped              ;No;Separador Vial                     ;0,4;0;0;0;0;0;0,6;2,2;1,6;3;15;Hacia la via                  ;N/A;Fuste Polifurcado   ;2;Subterranea    ;No;Irregular      ;Bajo (0 - 33%)      ;Regular ;N/A;N/A;Insectos      ;N/A;N/A;Golpes                    ;Machetazos                ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Golpes                    ;Mutilacion                ;N/A;N/A;N/A;Poda No Tecnica;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguno             ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Limpieza                ;Poda                    ;Fertilizacion           ;N/A;N/A;N/A;N/A;Control Fitosanitario   ;N/A;N/A;870197,76;1063601,78;N/A;N/A;N/A
153701;1308G22138093;1308;El Diamante;13;138093;G22 ;Leucaena;Leucaena leucocephala;Leucaena leucocephala (Leucaena);Fabaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Separador Vial                     ;0,6;0,6;0,19;0,07;0,15;0,29;2;9;7;8;20;Hacia la via                  ;N/A;Fuste Unico         ;1;Subterranea    ;No;Aparasolada    ;Medio (34 - 66%)    ;Regular ;N/A;N/A;Insectos      ;N/A;N/A;Golpes                    ;Machetazos                ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Insectos      ;N/A;Golpes                    ;Mutilacion                ;N/A;N/A;N/A;Poda No Tecnica;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguno             ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Limpieza                ;Poda                    ;Fertilizacion           ;N/A;N/A;N/A;N/A;Control Fitosanitario   ;N/A;N/A;870189,33;1063598,05;N/A;N/A;N/A
153702;1308G22138094;1308;El Diamante;13;138094;G22 ;Leucaena;Leucaena leucocephala;Leucaena leucocephala (Leucaena);Fabaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Separador Vial                     ;1,98;0;0,22;0,22;0,54;0,86;2;10;8;16;25;Direccion de la via           ;N/A;Fuste Polifurcado   ;2;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;N/A;N/A;Insectos      ;N/A;N/A;Golpes                    ;Machetazos                ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Insectos      ;N/A;Golpes                    ;Mutilacion                ;N/A;N/A;N/A;Poda No Tecnica;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguno             ;N/A;N/A;N/A;N/A;Horizontal;N/A;N/A;Limpieza                ;Poda                    ;Fertilizacion           ;N/A;N/A;N/A;N/A;Control Fitosanitario   ;N/A;N/A;870189,76;1063592,56;N/A;N/A;N/A
153703;1308G22138095;1308;El Diamante;13;138095;G22 ;Totumo, Mate, Calabazo;Crescentia cujete;Crescentia cujete (Totumo, Mate, Calabazo);Bignoniaceae;Arbusto;Maduro         ;N/A;Cesped              ;No;Separador Vial                     ;0,7;0,7;0,22;0,13;0,3;0,5;1,2;5,5;4,3;6;25;Hacia la via                  ;N/A;Fuste Unico         ;1;Subterranea    ;No;Globosa        ;Medio (34 - 66%)    ;Regular ;N/A;N/A;Insectos      ;N/A;N/A;Golpes                    ;Machetazos                ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Insectos      ;N/A;Golpes                    ;Mutilacion                ;N/A;N/A;N/A;Poda No Tecnica;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguno             ;N/A;N/A;N/A;N/A;N/A;Inferior  ;N/A;Limpieza                ;Poda                    ;Fertilizacion           ;N/A;N/A;N/A;N/A;Control Fitosanitario   ;N/A;N/A;870188,4;1063591,5;N/A;N/A;N/A
153704;1308G22138096;1308;El Diamante;13;138096;G22 ;Ficus benjamina, Caucho benjamin;Ficus benjamina;Ficus benjamina (Ficus benjamina, Caucho benjamin);Moraceae;Arbol;Maduro         ;N/A;Cesped              ;No;Separador Vial                     ;1,7;1,7;0,54;0,16;0,24;0,75;3;10;7;16;25;Hacia la via                  ;N/A;Fuste Unico         ;1;Subterranea    ;No;Aparasolada    ;Alto (67 - 100%)    ;Regular ;N/A;N/A;Insectos      ;N/A;N/A;Golpes                    ;Machetazos                ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Insectos      ;N/A;Golpes                    ;Mutilacion                ;N/A;N/A;N/A;Poda No Tecnica;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguno             ;N/A;N/A;N/A;N/A;Horizontal;N/A;N/A;Limpieza                ;Poda                    ;Fertilizacion           ;N/A;N/A;N/A;N/A;Control Fitosanitario   ;N/A;N/A;870186,91;1063592,68;N/A;N/A;N/A
153705;1308G22138097;1308;El Diamante;13;138097;G22 ;Leucaena;Leucaena leucocephala;Leucaena leucocephala (Leucaena);Fabaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Separador Vial                     ;0,25;0,25;0,08;0,05;0,11;0,2;1,5;7;5,5;7;25;Direccion de la via           ;N/A;Fuste Unico         ;1;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;N/A;N/A;Insectos      ;N/A;N/A;Golpes                    ;Machetazos                ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Insectos      ;N/A;Golpes                    ;Mutilacion                ;N/A;N/A;N/A;Poda No Tecnica;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguno             ;N/A;N/A;N/A;N/A;N/A;Inferior  ;N/A;Limpieza                ;Poda                    ;Fertilizacion           ;N/A;N/A;N/A;N/A;Control Fitosanitario   ;N/A;N/A;870187,38;1063589,9;N/A;N/A;N/A
153706;1308G22138098;1308;El Diamante;13;138098;G22 ;Cheflera;Schefflera actinophylla;Schefflera actinophylla (Cheflera);Araliaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Separador Vial                     ;0,86;0;0,07;0,07;0,22;0,24;3;5,5;2,5;3;15;Hacia la via                  ;N/A;Fuste Polifurcado   ;3;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;N/A;N/A;Insectos      ;N/A;N/A;Golpes                    ;Machetazos                ;N/A;N/A;N/A;D. estructural base tronco;N/A;N/A;N/A;N/A;N/A;N/A;Insectos      ;N/A;Golpes                    ;Mutilacion                ;N/A;N/A;N/A;Poda No Tecnica;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguno             ;N/A;N/A;N/A;N/A;N/A;N/A;Superior  ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Erradicacion            ;870183,58;1063586,47;N/A;N/A;N/A
153707;1308G22138099;1308;El Diamante;13;138099;G22 ;Naranjo;Citrus aurantium;Citrus aurantium (Naranjo);Rutaceae;Arbusto;Maduro         ;N/A;Cesped              ;No;Separador Vial                     ;0,26;0,26;0,08;0,04;0,08;0,14;0,7;3;2,3;3;15;Hacia la via                  ;N/A;Fuste Unico         ;1;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;N/A;N/A;Insectos      ;N/A;N/A;Golpes                    ;Machetazos                ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Insectos      ;N/A;Golpes                    ;Mutilacion                ;N/A;N/A;N/A;Poda No Tecnica;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguno             ;N/A;N/A;N/A;N/A;Horizontal;N/A;N/A;Limpieza                ;Poda                    ;Fertilizacion           ;N/A;N/A;N/A;N/A;Control Fitosanitario   ;N/A;N/A;870178,94;1063581,41;N/A;N/A;N/A
153708;1308G22138100;1308;El Diamante;13;138100;G22 ;Totumo, Mate, Calabazo;Crescentia cujete;Crescentia cujete (Totumo, Mate, Calabazo);Bignoniaceae;Arbusto;Maduro         ;N/A;Cesped              ;No;Separador Vial                     ;0,65;0,65;0,21;0,11;0,23;0,49;0,6;5,5;4,9;6;25;Hacia la via                  ;N/A;Fuste Unico         ;1;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;N/A;N/A;Insectos      ;N/A;N/A;Golpes                    ;Machetazos                ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Insectos      ;N/A;Golpes                    ;N/A;N/A;N/A;N/A;Poda Tecnica   ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ninguno             ;N/A;N/A;N/A;N/A;Horizontal;N/A;N/A;Limpieza                ;Poda                    ;Fertilizacion           ;N/A;N/A;N/A;N/A;Control Fitosanitario   ;N/A;N/A;870177,87;1063581,03;N/A;N/A;N/A
