ID2;id;Barrio;barrio;comuna;Id_Arbol;grupo;nombre_comun;nombre_cientifico;union;familia;vegetacion;edad;perimetro;cobertura;confinamiento;emplazamiento;pb;pap;DAP;DAP2;papdel;papgrueso;altura_fuste;altura_arbol;diferencia;diametro_copa;inclinacion;orientacion;otra_orientacion;fuste;tallos;raiz;raiz_expuesta;copa;densidad_copa;vitalidad;Norte;Este
1770;0101G24266088;101;Terron Colorado;1;266088;G24 ;Limon swinglea, Swinglea;Swinglea glutinosa;Swinglea glutinosa (Limon swinglea, Swinglea);Rutaceae;Arbol;Maduro         ;N/A;Cesped              ;Si;Escenario depor/cult               ;0.8;0.66;0.21;0.21;0;0;3;8;5;5;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Globosa        ;Alto (67 - 100%)    ;Regular ;873482,31;1057947,86
1771;0101G24266089;101;Terron Colorado;1;266089;G24 ;Palma areca;Dypsis lutescens;Dypsis lutescens (Palma areca);Arecaceae;Palma;Maduro         ;N/A;Cesped              ;No;Escenario depor/cult               ;2.45;0;0.06;0.06;0.15;0.24;1.5;2.5;1;6;0;Ninguna;N/A;Fuste Polifurcado;7;Subterranea    ;Si;Irregular      ;Medio (34 - 66%)    ;Regular ;873503,09;1057962,11
1772;0101G24266090;101;Terron Colorado;1;266090;G24 ;Guacimo;Guazuma ulmifolia;Guazuma ulmifolia (Guacimo);Malvaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Anden                              ;2.85;0;0.11;0.11;0.31;0.4;6;12;6;10;0;Ninguna;N/A;Fuste Polifurcado;7;Subterranea    ;Si;Irregular      ;Medio (34 - 66%)    ;Regular ;873429,31;1057991,38
1773;0101G24266091;101;Terron Colorado;1;266091;G24 ;Chiminango;Pithecellobium dulce;Pithecellobium dulce (Chiminango);Fabaceae;Arbol;Maduro         ;N/A;Vegetacion Emergente;No;Anden                              ;3.01;0;0.2;0.2;0.42;0.83;6;12;6;20;0;Ninguna;N/A;Fuste Polifurcado;15;Subterranea    ;Si;Irregular      ;Medio (34 - 66%)    ;Regular ;873471,67;1058031,04
1774;0101G24266092;101;Terron Colorado;1;266092;G24 ;Guacimo;Guazuma ulmifolia;Guazuma ulmifolia (Guacimo);Malvaceae;Arbol;Maduro         ;N/A;Vegetacion Emergente;No;Anden                              ;1.85;0;0.17;0.17;0.44;0.62;3;6;3;10;60;Direccion de la via;N/A;Fuste Polifurcado;9;Subterranea    ;Si;Irregular      ;Medio (34 - 66%)    ;Regular ;873543,73;1058065,61
1775;0101G24266093;101;Terron Colorado;1;266093;G24 ;Guacimo;Guazuma ulmifolia;Guazuma ulmifolia (Guacimo);Malvaceae;Arbol;Maduro         ;N/A;Vegetacion Emergente;No;Anden                              ;2.42;0;0.2;0.2;0.43;0.81;6;12;6;12;0;Ninguna;N/A;Fuste Polifurcado;3;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873575,84;1058110,44
1776;0101G24266094;101;Terron Colorado;1;266094;G24 ;Guacimo;Guazuma ulmifolia;Guazuma ulmifolia (Guacimo);Malvaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Anden                              ;0.72;0.64;0.2;0.2;0;0;3;5;2;6;20;Hacia la via;N/A;Fuste Unico;1;Subterranea    ;Si;Irregular      ;Medio (34 - 66%)    ;Regular ;873577,05;1058114,03
1777;0101G24266095;101;Terron Colorado;1;266095;G24 ;Chiminango;Pithecellobium dulce;Pithecellobium dulce (Chiminango);Fabaceae;Arbol;Longevo        ;N/A;Vegetacion Emergente;No;Anden                              ;4.7;0;0.31;0.31;0.75;1.2;4;10;6;22;30;Hacia la via;N/A;Fuste Polifurcado;6;Subterranea    ;No;Irregular      ;Bajo (0 - 33%)      ;Regular ;873582,04;1058100,73
1778;0101G24266096;101;Terron Colorado;1;266096;G24 ;Cerezo, Mirto, Azahar;Murraya paniculata;Murraya paniculata (Cerezo, Mirto, Azahar);Rutaceae;Arbusto;Maduro         ;N/A;Cesped              ;No;Anden                              ;0.83;0;0.07;0.07;0.16;0.26;0.8;1.8;1;3;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea    ;No;Globosa        ;Alto (67 - 100%)    ;Regular ;873605,3;1058172,35
1779;0101G24266097;101;Terron Colorado;1;266097;G24 ;Palma manila, Palma navidad;Adonidia merrillii;Adonidia merrillii (Palma manila, Palma navidad);Arecaceae;Palma;Juvenil        ;N/A;Cesped              ;No;Anden                              ;0.59;0.35;0.11;0.11;0;0;0.8;1.8;1;4;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Sano    ;873621,31;1058189,08
1780;0101G24266098;101;Terron Colorado;1;266098;G24 ;Dracaena roja;Dracaena fragrans;Dracaena fragrans (Dracaena roja);Asparagaceae;Planta arbustiva;Maduro         ;N/A;Cesped              ;No;Anden                              ;0.7;0;0.06;0.06;0.17;0.18;2;4;2;3;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea    ;No;Columnar       ;Medio (34 - 66%)    ;Regular ;873633,59;1058202,58
1781;0101G24266099;101;Terron Colorado;1;266099;G24 ;Palma manila, Palma navidad;Adonidia merrillii;Adonidia merrillii (Palma manila, Palma navidad);Arecaceae;Palma;Juvenil        ;N/A;Cesped              ;No;Anden                              ;0.65;0.44;0.14;0.14;0;0;1.5;2.8;1.3;4;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873637,24;1058201,32
1782;0101G24266100;101;Terron Colorado;1;266100;G24 ;Aguacate;Persea americana;Persea americana (Aguacate);Lauraceae;Arbol;Maduro         ;N/A;Cesped              ;No;Anden                              ;0.72;0;0.07;0.07;0.13;0.3;1.5;5;3.5;6;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea    ;Si;Globosa        ;Alto (67 - 100%)    ;Regular ;873663,86;1058238,16
1783;0101G24266101;101;Terron Colorado;1;266101;G24 ;Guanabano;Annona muricata;Annona muricata (Guanabano);Annonaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Anden                              ;1.05;0.86;0.27;0.27;0;0;2;6;4;5;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Globosa        ;Alto (67 - 100%)    ;Regular ;873665,8;1058239,98
1784;0101G25266158;101;Terron Colorado;1;266158;G25 ;Limon swinglea, Swinglea;Swinglea glutinosa;Swinglea glutinosa (Limon swinglea, Swinglea);Rutaceae;Arbol;Maduro         ;N/A;Piso duro           ;No;Anden                              ;1.28;0.97;0.31;0.31;0;0;3;6;3;7;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Irregular      ;Alto (67 - 100%)    ;Regular ;873546,97;1057592,66
1785;0101G25266159;101;Terron Colorado;1;266159;G25 ;Leucaena;Leucaena leucocephala;Leucaena leucocephala (Leucaena);Fabaceae;Arbol;Maduro         ;N/A;Piso duro           ;No;Anden                              ;1.7;0;0.24;0.24;0.64;0.85;4;6.5;2.5;7.9;0;Ninguna;N/A;Fuste Polifurcado;3;Subterranea    ;No;Irregular      ;Alto (67 - 100%)    ;Regular ;873546,98;1057589,65
1786;0101G25266160;101;Terron Colorado;1;266160;G25 ;Ebano, Ebano costeno;Caesalpinia ebano;Caesalpinia ebano (Ebano, Ebano costeno);Fabaceae;Arbol;Maduro         ;N/A;Piso duro           ;No;Anden                              ;0.34;0;0.03;0.03;0.03;0.13;1.5;3.5;2;4;0;Ninguna;N/A;Fuste Polifurcado;5;Subterranea    ;No;Aparasolada    ;Alto (67 - 100%)    ;Regular ;873596,72;1057747,84
1787;0101G25266161;101;Terron Colorado;1;266161;G25 ;Clavellino, Mariposa;Caesalpinia pulcherrima;Caesalpinia pulcherrima (Clavellino, Mariposa);Fabaceae;Arbusto;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.64;0;0.05;0.05;0.14;0.2;2;5.2;3.2;4.9;10;Otro;zona verde;Fuste Polifurcado;7;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873613,14;1057836,18
1788;0101G25266162;101;Terron Colorado;1;266162;G25 ;Palma real de Cuba;Roystonea regia;Roystonea regia (Palma real de Cuba);Arecaceae;Palma;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;2.4;2;0.64;0.64;0;0;12;13.5;1.5;6;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Aparasolada    ;Bajo (0 - 33%)      ;Regular ;873603,62;1057837,55
1789;0101G25266163;101;Terron Colorado;1;266163;G25 ;Carbonero;Calliandra pittieri;Calliandra pittieri (Carbonero);Fabaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;1.1;0;0.12;0.12;0.35;0.4;2.5;4.1;1.6;5;0;Ninguna;N/A;Fuste Polifurcado;3;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873601,97;1057837,61
1790;0101G25266164;101;Terron Colorado;1;266164;G25 ;Vara Santa;Triplaris americana;Triplaris americana (Vara Santa);Polygonaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Anden                              ;0.9;0.65;0.21;0.21;0;0;3;4.9;1.9;6.5;15;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873793,09;1057768,86
1791;0101G25266165;101;Terron Colorado;1;266165;G25 ;Araucaria;Araucaria excelsa;Araucaria excelsa (Araucaria);Araucariaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Anden                              ;0.84;0.71;0.23;0.23;0;0;2;8.5;6.5;4;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Conica         ;Medio (34 - 66%)    ;Regular ;873752,11;1057792,7
1792;0101G25266166;101;Terron Colorado;1;266166;G25 ;Mandarina;Citrus reticulata;Citrus reticulata (Mandarina);Rutaceae;Arbusto;Maduro         ;N/A;Cesped              ;No;Anden                              ;0.82;0;0.07;0.07;0.16;0.27;2;4;2;4.5;0;Ninguna;N/A;Fuste Polifurcado;5;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873789,09;1057744,28
1793;0101G25266167;101;Terron Colorado;1;266167;G25 ;Leucaena;Leucaena leucocephala;Leucaena leucocephala (Leucaena);Fabaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.84;0.7;0.22;0.22;0;0;4.5;7.2;2.7;6.1;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873762,6;1057716,17
1794;0101G25266168;101;Terron Colorado;1;266168;G25 ;Guacimo;Guazuma ulmifolia;Guazuma ulmifolia (Guacimo);Malvaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.66;0.45;0.14;0.14;0;0;4;6.2;2.2;4.9;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Irregular      ;Bajo (0 - 33%)      ;Regular ;873743,89;1057715,96
1795;0101G25266169;101;Terron Colorado;1;266169;G25 ;Leucaena;Leucaena leucocephala;Leucaena leucocephala (Leucaena);Fabaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.8;0.84;0.27;0.27;0;0;4;6.5;2.5;6.9;10;Otro;zona verde;Fuste Unico;1;Subterranea    ;No;Irregular      ;Bajo (0 - 33%)      ;Regular ;873744,48;1057711,94
1796;0101G25266170;101;Terron Colorado;1;266170;G25 ;Palma areca;Dypsis lutescens;Dypsis lutescens (Palma areca);Arecaceae;Palma;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.7;0;0.05;0.05;0.13;0.2;1.5;2.2;0.7;2.5;0;Ninguna;N/A;Fuste Polifurcado;3;Subterranea    ;No;Aparasolada    ;Bajo (0 - 33%)      ;Regular ;873740,93;1057707,62
1797;0101G25266171;101;Terron Colorado;1;266171;G25 ;Leucaena;Leucaena leucocephala;Leucaena leucocephala (Leucaena);Fabaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;1.6;0;0.04;0.04;0.1;0.16;2;4.5;2.5;6;0;Ninguna;N/A;Fuste Polifurcado;6;Subterranea    ;No;Irregular      ;Bajo (0 - 33%)      ;Regular ;873729,8;1057692,17
1798;0101G25266172;101;Terron Colorado;1;266172;G25 ;Chiminango;Pithecellobium dulce;Pithecellobium dulce (Chiminango);Fabaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;3.4;0;0.39;0.39;0.86;1.62;6;9;3;12;0;Ninguna;N/A;Fuste Polifurcado;3;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873733,68;1057687,83
1799;0101G25266173;101;Terron Colorado;1;266173;G25 ;Leucaena;Leucaena leucocephala;Leucaena leucocephala (Leucaena);Fabaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;1.25;1.02;0.32;0.32;0;0;12;13.5;1.5;7.9;10;Otro;zona verde;Fuste Unico;1;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873760,31;1057653,62
1800;0101G25266174;101;Terron Colorado;1;266174;G25 ;Caucho;Ficus sp;Ficus sp (Caucho);Moraceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;2.4;1.6;0.51;0.51;0;0;8;12;4;13;15;Otro;zona verde;Fuste Unico;1;Subterranea    ;Si;Irregular      ;Medio (34 - 66%)    ;Regular ;873763,58;1057652,74
1801;0101G25266175;101;Terron Colorado;1;266175;G25 ;Chambimbe, Jaboncillo;Sapindus saponaria;Sapindus saponaria (Chambimbe, Jaboncillo);Sapindaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;1.01;0;0.14;0.14;0.34;0.57;4;6.7;2.7;5.2;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873773,35;1057654,27
1802;0101G25266176;101;Terron Colorado;1;266176;G25 ;Guanabano;Annona muricata;Annona muricata (Guanabano);Annonaceae;Arbol;Maduro         ;N/A;Vegetacion Emergente;No;Parque Urbano                      ;0.85;0.76;0.24;0.24;0;0;4;6.5;2.5;4.9;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873808,96;1057652,7
1803;0101G25266177;101;Terron Colorado;1;266177;G25 ;Leucaena;Leucaena leucocephala;Leucaena leucocephala (Leucaena);Fabaceae;Arbol;Maduro         ;N/A;Vegetacion Emergente;No;Parque Urbano                      ;0.2;0.15;0.05;0.05;0;0;2.2;3.1;0.9;1.5;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Irregular      ;Bajo (0 - 33%)      ;Regular ;873810,48;1057651,71
1804;0101G25266178;101;Terron Colorado;1;266178;G25 ;Leucaena;Leucaena leucocephala;Leucaena leucocephala (Leucaena);Fabaceae;Arbol;Maduro         ;N/A;Vegetacion Emergente;No;Parque Urbano                      ;0.22;0.18;0.06;0.06;0;0;3.5;4.9;1.4;1.2;10;Otro;zona verde;Fuste Unico;1;Subterranea    ;No;Irregular      ;Bajo (0 - 33%)      ;Regular ;873809,6;1057650,27
1805;0101G25266179;101;Terron Colorado;1;266179;G25 ;Limon swinglea, Swinglea;Swinglea glutinosa;Swinglea glutinosa (Limon swinglea, Swinglea);Rutaceae;Arbol;Maduro         ;N/A;Vegetacion Emergente;No;Parque Urbano                      ;0.42;0.24;0.08;0.08;0;0;2.2;4.1;1.9;2.1;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Irregular      ;Bajo (0 - 33%)      ;Regular ;873809,26;1057650,47
1806;0101G25266180;101;Terron Colorado;1;266180;G25 ;Limon swinglea, Swinglea;Swinglea glutinosa;Swinglea glutinosa (Limon swinglea, Swinglea);Rutaceae;Arbol;Maduro         ;N/A;Vegetacion Emergente;No;Parque Urbano                      ;0.54;0.35;0.11;0.11;0;0;3.1;5.7;2.6;2.2;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Irregular      ;Bajo (0 - 33%)      ;Regular ;873806,67;1057650,6
1807;0101G25266181;101;Terron Colorado;1;266181;G25 ;Almendro;Terminalia catappa;Terminalia catappa (Almendro);Combretaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.58;0.39;0.12;0.12;0;0;2.1;4;1.9;4.2;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Aparasolada    ;Medio (34 - 66%)    ;Regular ;873813,4;1057782,87
1808;0101G25266182;101;Terron Colorado;1;266182;G25 ;Chirimoyo;Annona cherimola;Annona cherimola (Chirimoyo);Annonaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.34;0.15;0.05;0.05;0;0;1.5;2.1;0.6;3;25;Otro;zona verde;Fuste Unico;1;Subterranea    ;No;Irregular      ;Bajo (0 - 33%)      ;Regular ;873816,07;1057790,23
1809;0101G25266183;101;Terron Colorado;1;266183;G25 ;Amancayo tricolor;Plumeria tricolor;Plumeria tricolor (Amancayo tricolor);Apocynaceae;Arbusto;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.46;0;0.05;0.05;0.1;0.22;2.1;3.15;1.05;4;0;Ninguna;N/A;Fuste Polifurcado;3;Subterranea    ;No;Irregular      ;Bajo (0 - 33%)      ;Regular ;873818,12;1057794,66
1810;0101G25266184;101;Terron Colorado;1;266184;G25 ;Aguacate;Persea americana;Persea americana (Aguacate);Lauraceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.42;0.35;0.11;0.11;0;0;2.2;4.3;2.1;4;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Irregular      ;Alto (67 - 100%)    ;Regular ;873819,76;1057798,17
1811;0101G25266185;101;Terron Colorado;1;266185;G25 ;Mango;Mangifera indica;Mangifera indica (Mango);Anacardiaceae;Arbol;Juvenil        ;N/A;Vegetacion Emergente;No;Parque Urbano                      ;0.27;0;0.04;0.04;0.11;0.15;1.5;2.6;1.1;1.8;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873826,33;1057788,93
1812;0101G25266186;101;Terron Colorado;1;266186;G25 ;Chiminango;Pithecellobium dulce;Pithecellobium dulce (Chiminango);Fabaceae;Arbol;Maduro         ;N/A;Vegetacion Emergente;No;Parque Urbano                      ;0.79;0;0.15;0.15;0.34;0.62;3;5.2;2.2;6.7;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873825,35;1057785,66
1813;0101G25266187;101;Terron Colorado;1;266187;G25 ;Palma real de Cuba;Roystonea regia;Roystonea regia (Palma real de Cuba);Arecaceae;Palma;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.87;0.42;0.13;0.13;0;0;2.5;4.1;1.6;3;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Aparasolada    ;Bajo (0 - 33%)      ;Regular ;873842,65;1057795,41
1814;0101G25266188;101;Terron Colorado;1;266188;G25 ;Palma real de Cuba;Roystonea regia;Roystonea regia (Palma real de Cuba);Arecaceae;Palma;Juvenil        ;N/A;Cesped              ;No;Parque Urbano                      ;0.98;0.4;0.13;0.13;0;0;1.6;4.1;2.5;4;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Aparasolada    ;Bajo (0 - 33%)      ;Regular ;873849,51;1057795,77
1815;0101G25266189;101;Terron Colorado;1;266189;G25 ;Saman, Genizaro;Albizia saman;Albizia saman (Saman, Genizaro);Fabaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.36;0.26;0.08;0.08;0;0;4.1;5;0.9;4;10;Otro;zona verde;Fuste Unico;1;Subterranea    ;No;Irregular      ;Bajo (0 - 33%)      ;Regular ;873853,24;1057790,87
1816;0101G25266190;101;Terron Colorado;1;266190;G25 ;Tulipan africano;Spathodea campanulata;Spathodea campanulata (Tulipan africano);Bignoniaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.42;0.21;0.07;0.07;0;0;2.1;3;0.9;2;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873864,25;1057795,27
1817;0101G25266191;101;Terron Colorado;1;266191;G25 ;Limon;Citrus lemon;Citrus lemon (Limon);Rutaceae;Arbusto;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.22;0;0.03;0.03;0.1;0.11;1.2;2.1;0.9;1.9;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea    ;No;Irregular      ;Bajo (0 - 33%)      ;Regular ;873863,5;1057798,15
1818;0101G25266192;101;Terron Colorado;1;266192;G25 ;Tulipan africano;Spathodea campanulata;Spathodea campanulata (Tulipan africano);Bignoniaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.57;0;0.11;0.11;0.32;0.38;2.5;4.1;1.6;3.9;10;Otro;zona verde;Fuste Polifurcado;2;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873861,51;1057801,89
1819;0101G25266193;101;Terron Colorado;1;266193;G25 ;Tulipan africano;Spathodea campanulata;Spathodea campanulata (Tulipan africano);Bignoniaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.51;0.3;0.1;0.1;0;0;2.1;4.2;2.1;4;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873857,99;1057803,44
1820;0101G25266194;101;Terron Colorado;1;266194;G25 ;Palma real de Cuba;Roystonea regia;Roystonea regia (Palma real de Cuba);Arecaceae;Palma;Juvenil        ;N/A;Cesped              ;No;Parque Urbano                      ;1.27;0.44;0.14;0.14;0;0;2.2;4.5;2.3;4;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Aparasolada    ;Bajo (0 - 33%)      ;Regular ;873851,2;1057802,05
1821;0101G25266195;101;Terron Colorado;1;266195;G25 ;Mango;Mangifera indica;Mangifera indica (Mango);Anacardiaceae;Arbol;Juvenil        ;N/A;Cesped              ;No;Parque Urbano                      ;0.97;0.23;0.07;0.07;0;0;1.6;3.9;2.3;3;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873849,02;1057806,81
1822;0101G25266196;101;Terron Colorado;1;266196;G25 ;Leucaena;Leucaena leucocephala;Leucaena leucocephala (Leucaena);Fabaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.6;0.39;0.12;0.12;0;0;4.2;6.1;1.9;4.9;10;Otro;zona verde;Fuste Unico;1;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873848,93;1057816,97
1823;0101G25266197;101;Terron Colorado;1;266197;G25 ;Leucaena;Leucaena leucocephala;Leucaena leucocephala (Leucaena);Fabaceae;Arbol;Maduro         ;N/A;Vegetacion Emergente;No;Parque Urbano                      ;0.42;0.34;0.11;0.11;0;0;4.2;7;2.8;5;15;Otro;zona verde;Fuste Unico;1;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873848,4;1057816,05
1824;0101G25266198;101;Terron Colorado;1;266198;G25 ;Leucaena;Leucaena leucocephala;Leucaena leucocephala (Leucaena);Fabaceae;Arbol;Maduro         ;N/A;Vegetacion Emergente;No;Parque Urbano                      ;0.52;0;0.08;0.08;0.18;0.3;4.1;7;2.9;6;10;Otro;zona verde;Fuste Polifurcado;2;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873855,62;1057822,95
1825;0101G25266199;101;Terron Colorado;1;266199;G25 ;Palma de azucar;Syagrus romanzoffiana;Syagrus romanzoffiana (Palma de azucar);Arecaceae;Palma;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.86;0.68;0.22;0.22;0;0;4;6.5;2.5;4.9;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Aparasolada    ;Bajo (0 - 33%)      ;Sano    ;873867,65;1057857,16
1826;0101G25266200;101;Terron Colorado;1;266200;G25 ;Acacia roja, Flamboyan;Delonix regia;Delonix regia (Acacia roja, Flamboyan);Caesalpiniaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.3;0.19;0.06;0.06;0;0;2.5;3;0.5;4;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Irregular      ;Bajo (0 - 33%)      ;Regular ;873865,18;1057866,13
1827;0101G25266201;101;Terron Colorado;1;266201;G25 ;Almendro amazonico;Terminalia amazonica;Terminalia amazonica (Almendro amazonico);Combretaceae;Arbol;Juvenil        ;N/A;Cesped              ;No;Parque Urbano                      ;0.24;0;0.1;0.1;0.3;0.3;1.2;2.1;0.9;2.5;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea    ;No;Aparasolada    ;Alto (67 - 100%)    ;Regular ;873865,35;1057874,66
1828;0101G25266202;101;Terron Colorado;1;266202;G25 ;Acacia amarilla, Acacia siamea;Senna siamea;Senna siamea (Acacia amarilla, Acacia siamea);Caesalpiniaceae;Arbol;Juvenil        ;N/A;Cesped              ;No;Parque Urbano                      ;0.24;0;0.04;0.04;0.11;0.12;1.6;2.5;0.9;2.2;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea    ;No;Irregular      ;Bajo (0 - 33%)      ;Regular ;873870,07;1057878,12
1829;0101G25266203;101;Terron Colorado;1;266203;G25 ;Mango;Mangifera indica;Mangifera indica (Mango);Anacardiaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.8;0;0.11;0.11;0.3;0.38;1.9;5.2;3.3;4.9;0;Ninguna;N/A;Fuste Polifurcado;4;Subterranea    ;No;Globosa        ;Alto (67 - 100%)    ;Regular ;873860,32;1057927,33
1830;0101G25266204;101;Terron Colorado;1;266204;G25 ;Ebano, Ebano costeno;Caesalpinia ebano;Caesalpinia ebano (Ebano, Ebano costeno);Fabaceae;Arbol;Maduro         ;N/A;Cesped              ;No;Parque Urbano                      ;0.66;0;0.14;0.14;0.3;0.6;2;3.2;1.2;4.5;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea    ;No;Aparasolada    ;Alto (67 - 100%)    ;Regular ;873852,67;1057914,93
1831;0101G25266205;101;Terron Colorado;1;266205;G25 ;Aguacate;Persea americana;Persea americana (Aguacate);Lauraceae;Arbol;Maduro         ;N/A;Cesped              ;No;Anden                              ;0.96;0;0.17;0.17;0.51;0.53;2.2;7;4.8;4;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea    ;Si;Irregular      ;Medio (34 - 66%)    ;Regular ;873830,06;1057999,6
1832;0101G25266206;101;Terron Colorado;1;266206;G25 ;Palma areca;Dypsis lutescens;Dypsis lutescens (Palma areca);Arecaceae;Palma;Maduro         ;N/A;Cesped              ;No;Anden                              ;1.2;0;0.05;0.05;0.11;0.18;2;4.1;2.1;4.1;0;Ninguna;N/A;Fuste Polifurcado;5;Subterranea    ;No;Aparasolada    ;Bajo (0 - 33%)      ;Regular ;873828,05;1058021,29
1833;0101G25266207;101;Terron Colorado;1;266207;G25 ;Palma manila, Palma navidad;Adonidia merrillii;Adonidia merrillii (Palma manila, Palma navidad);Arecaceae;Palma;Maduro         ;N/A;Cesped              ;No;Anden                              ;0.72;0.38;0.12;0.12;0;0;2.2;4.5;2.3;4.9;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Aparasolada    ;Bajo (0 - 33%)      ;Regular ;873828,91;1058000,49
